Type,Genre,Sub-genre,Topic,Low level,mid level,high level,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Non-fiction,History,Festivals,Thanksgiving (United States),2,5,8,,,,
Non-fiction,History,Festivals,St. Patrick's Day (Ireland),3,4,7,,,,
Non-fiction,History,Festivals,Hanukkah (Jewish festival),3,5,7,,,,
Non-fiction,History,Festivals,La Tomatina (Spain),3,5,8,,,,
Non-fiction,History,Festivals,Día de los Muertos (Mexico),3,4,5,,,,
Non-fiction,History,Festivals,"La Mercè (Barcelona, Spain)",3,4,6,,,,
Non-fiction,History,Festivals,Lantern Festival (China),4,7,9,,,,
Non-fiction,History,Festivals,"Running of the Bulls (Pamplona, Spain)",4,7,8,,,,
Non-fiction,History,Festivals,Rio de Janeiro Carnival (Brazil),4,5,8,,,,
Non-fiction,History,Festivals,Easter (Worldwide),4,6,8,,,,
Non-fiction,History,Festivals,Cherry Blossom Festival (Japan),4,6,9,,,,
Non-fiction,History,Festivals,Māori New Year (New Zealand),5,7,9,,,,
Non-fiction,History,Festivals,Bastille Day (France),5,6,9,,,,
Non-fiction,History,Festivals,Day of the Dead (Worldwide),5,7,8,,,,
Non-fiction,History,Festivals,San Fermín Festival (Spain),5,7,10,,,,
Non-fiction,History,Festivals,Inti Raymi (Peru),5,7,10,,,,
Non-fiction,History,Festivals,Oktoberfest (United States),6,9,12,,,,
Non-fiction,History,Festivals,Loy Krathong (Thailand),6,8,10,,,,
Non-fiction,History,Festivals,Glastonbury Festival (United Kingdom),6,9,12,,,,
Non-fiction,History,Festivals,Carnevale di Venezia (Italy),6,8,11,,,,
Non-fiction,History,Festivals,Ganesh Chaturthi (India),6,8,9,,,,
Non-fiction,History,Festivals,Burning Man (United States),7,10,13,,,,
Non-fiction,History,Festivals,Boryeong Mud Festival (South Korea),7,10,13,,,,
Non-fiction,History,Festivals,Bonnaroo Music and Arts Festival (United States),7,8,11,,,,
Non-fiction,History,Festivals,Albuquerque International Balloon Fiesta (United States),7,10,13,,,,
Non-fiction,History,Festivals,"Day of the Dead Parade (Mexico City, Mexico)",7,10,11,,,,
Non-fiction,History,Festivals,St. Lucia's Day (Sweden),8,11,13,,,,
Non-fiction,History,Festivals,Kumbh Mela (India),8,9,11,,,,
Non-fiction,History,Festivals,Baisakhi (India),8,9,11,,,,
Non-fiction,History,Festivals,Saint Nicholas Day (Europe),8,9,11,,,,
Non-fiction,History,Festivals,Naadam Festival (Mongolia),8,11,14,,,,
Non-fiction,History,Festivals,Harbin Ice and Snow Festival (China),9,11,12,,,,
Non-fiction,History,Festivals,La Batalla de Vino (Spain),9,12,13,,,,
Non-fiction,History,Festivals,Eid al-Adha (Muslim countries),9,11,12,,,,
Non-fiction,History,Festivals,Pahela Baishakh (Bangladesh),9,11,13,,,,
Non-fiction,History,Festivals,Chingay Parade (Singapore),9,11,12,,,,
Non-fiction,History,Festivals,Pushkar Camel Fair (India),10,12,14,,,,
Non-fiction,History,Festivals,Fiesta de San Juan (Spain),10,13,16,,,,
Non-fiction,History,Festivals,Krampusnacht (Austria),10,11,14,,,,
Non-fiction,History,Festivals,Koningsdag (Netherlands),10,11,14,,,,
Non-fiction,History,Festivals,Carnaval de Barranquilla (Colombia),10,12,14,,,,
Non-fiction,History,Historical Events,World War II,1,4,5,,,,
Non-fiction,History,Historical Events,American Revolution,1,4,5,,,,
Non-fiction,History,Historical Events,French Revolution,1,4,5,,,,
Non-fiction,History,Historical Events,Industrial Revolution,1,3,5,,,,
Non-fiction,History,Historical Events,Renaissance,1,3,5,,,,
Non-fiction,History,Historical Events,Holocaust,2,4,6,,,,
Non-fiction,History,Historical Events,Ancient Egypt civilization,2,4,7,,,,
Non-fiction,History,Historical Events,Apollo 11 moon landing,2,5,7,,,,
Non-fiction,History,Historical Events,Civil Rights Movement,2,5,6,,,,
Non-fiction,History,Historical Events,Cold War,2,4,7,,,,
Non-fiction,History,Historical Events,Fall of the Roman Empire,3,6,8,,,,
Non-fiction,History,Historical Events,World War I,3,5,7,,,,
Non-fiction,History,Historical Events,Age of Exploration,3,4,6,,,,
Non-fiction,History,Historical Events,September 11 attacks,3,5,8,,,,
Non-fiction,History,Historical Events,American Civil War,3,6,7,,,,
Non-fiction,History,Historical Events,Mongol Empire,4,5,8,,,,
Non-fiction,History,Historical Events,Ancient Greece civilization,4,7,10,,,,
Non-fiction,History,Historical Events,Russian Revolution,4,6,9,,,,
Non-fiction,History,Historical Events,Invention of the printing press,4,6,8,,,,
Non-fiction,History,Historical Events,Vietnam War,4,6,7,,,,
Non-fiction,History,Historical Events,Ancient Rome civilization,5,7,10,,,,
Non-fiction,History,Historical Events,British colonization of India,5,6,7,,,,
Non-fiction,History,Historical Events,Black Death (Bubonic Plague),5,7,10,,,,
Non-fiction,History,Historical Events,Cuban Missile Crisis,5,7,8,,,,
Non-fiction,History,Historical Events,Chinese Cultural Revolution,5,7,8,,,,
Non-fiction,History,Historical Events,Ancient Mesopotamia civilization,6,8,11,,,,
Non-fiction,History,Historical Events,Space Race,6,9,12,,,,
Non-fiction,History,Historical Events,French colonization of Africa,6,9,12,,,,
Non-fiction,History,Historical Events,Bolshevik Revolution,6,9,11,,,,
Non-fiction,History,Historical Events,Spanish Inquisition,6,8,10,,,,
Non-fiction,History,Historical Events,D-Day Invasion,7,8,10,,,,
Non-fiction,History,Historical Events,Salem Witch Trials,7,8,10,,,,
Non-fiction,History,Historical Events,Russian Empire,7,9,11,,,,
Non-fiction,History,Historical Events,Berlin Wall Fall,7,9,10,,,,
Non-fiction,History,Historical Events,Renaissance in Italy,7,10,11,,,,
Non-fiction,History,Historical Events,Mayan civilization,8,9,11,,,,
Non-fiction,History,Historical Events,Age of Enlightenment,8,9,12,,,,
Non-fiction,History,Historical Events,Great Depression,8,9,10,,,,
Non-fiction,History,Historical Events,Ancient China civilization,8,10,12,,,,
Non-fiction,History,Historical Events,Berlin Conference (Scramble for Africa),8,9,12,,,,
Non-fiction,History,Historical Events,Byzantine Empire,9,12,15,,,,
Non-fiction,History,Historical Events,Ancient Indus Valley civilization,9,10,11,,,,
Non-fiction,History,Historical Events,Indian Independence Movement,9,12,13,,,,
Non-fiction,History,Historical Events,Women's Suffrage Movement,9,10,11,,,,
Non-fiction,History,Historical Events,Mexican Revolution,9,12,15,,,,
Non-fiction,History,Historical Events,Battle of Waterloo,10,13,16,,,,
Non-fiction,History,Historical Events,Partition of India,10,13,16,,,,
Non-fiction,History,Historical Events,Industrialization in Japan,10,13,16,,,,
Non-fiction,History,Historical Events,War of 1812,10,12,13,,,,
Non-fiction,History,Historical Events,Cultural Revolution in China,10,13,16,,,,
Non-fiction,History,Historical personas,Adolf Hitler,1,4,5,,,,
Non-fiction,History,Historical personas,Martin Luther King Jr.,1,2,4,,,,
Non-fiction,History,Historical personas,Albert Einstein,1,3,5,,,,
Non-fiction,History,Historical personas,Leonardo da Vinci,1,3,5,,,,
Non-fiction,History,Historical personas,William Shakespeare,1,2,4,,,,
Non-fiction,History,Historical personas,George Washington,2,4,7,,,,
Non-fiction,History,Historical personas,Cleopatra,2,3,6,,,,
Non-fiction,History,Historical personas,Mahatma Gandhi,2,5,7,,,,
Non-fiction,History,Historical personas,Abraham Lincoln,2,3,6,,,,
Non-fiction,History,Historical personas,Julius Caesar,2,4,7,,,,
Non-fiction,History,Historical personas,Napoleon Bonaparte,3,5,6,,,,
Non-fiction,History,Historical personas,Alexander the Great,3,6,9,,,,
Non-fiction,History,Historical personas,Queen Elizabeth I,3,4,6,,,,
Non-fiction,History,Historical personas,Marie Curie,3,5,6,,,,
Non-fiction,History,Historical personas,Rosa Parks,3,4,6,,,,
Non-fiction,History,Historical personas,Joan of Arc,4,7,9,,,,
Non-fiction,History,Historical personas,Winston Churchill,4,7,9,,,,
Non-fiction,History,Historical personas,Galileo Galilei,4,6,8,,,,
Non-fiction,History,Historical personas,Thomas Edison,4,5,8,,,,
Non-fiction,History,Historical personas,Isaac Newton,4,6,9,,,,
Non-fiction,History,Historical personas,Genghis Khan,5,7,10,,,,
Non-fiction,History,Historical personas,Marie Antoinette,5,8,9,,,,
Non-fiction,History,Historical personas,Queen Victoria,5,8,10,,,,
Non-fiction,History,Historical personas,Socrates,5,7,8,,,,
Non-fiction,History,Historical personas,Michelangelo,5,7,10,,,,
Non-fiction,History,Historical personas,Nelson Mandela,6,7,10,,,,
Non-fiction,History,Historical personas,Amelia Earhart,6,8,10,,,,
Non-fiction,History,Historical personas,Christopher Columbus,6,7,9,,,,
Non-fiction,History,Historical personas,Frida Kahlo,6,8,9,,,,
Non-fiction,History,Historical personas,Benjamin Franklin,6,9,11,,,,
Non-fiction,History,Historical personas,Elizabeth Cady Stanton,7,9,11,,,,
Non-fiction,History,Historical personas,Confucius,7,8,9,,,,
Non-fiction,History,Historical personas,Charles Darwin,7,9,10,,,,
Non-fiction,History,Historical personas,Helen Keller,7,10,12,,,,
Non-fiction,History,Historical personas,Eleanor Roosevelt,7,9,12,,,,
Non-fiction,History,Historical personas,Ludwig van Beethoven,8,10,13,,,,
Non-fiction,History,Historical personas,Sojourner Truth,8,10,12,,,,
Non-fiction,History,Historical personas,Che Guevara,8,9,12,,,,
Non-fiction,History,Historical personas,Anne Frank,8,10,13,,,,
Non-fiction,History,Historical personas,Pablo Picasso,8,10,13,,,,
Non-fiction,History,Historical personas,Isaac Newton,9,11,12,,,,
Non-fiction,History,Historical personas,Susan B. Anthony,9,10,13,,,,
Non-fiction,History,Historical personas,Albert Schweitzer,9,11,12,,,,
Non-fiction,History,Historical personas,Karl Marx,9,10,12,,,,
Non-fiction,History,Historical personas,Thomas Jefferson,9,10,11,,,,
Non-fiction,History,Historical personas,Marco Polo,10,13,15,,,,
Non-fiction,History,Historical personas,Sigmund Freud,10,12,15,,,,
Non-fiction,History,Historical personas,Harriet Tubman,10,11,12,,,,
Non-fiction,History,Historical personas,Charles Dickens,10,13,14,,,,
Non-fiction,History,Historical personas,Vincent van Gogh,10,11,13,,,,
Non-fiction,Tales and Myths,Mythology,"Greek mythology: The Twelve Olympians and their stories (Zeus, Hera, Poseidon, Hades, etc.)",1,2,4,,,,
Non-fiction,Tales and Myths,Mythology,"Norse mythology: Ragnarok and the gods (Thor, Odin, Loki, etc.)",1,4,7,,,,
Non-fiction,Tales and Myths,Mythology,Egyptian mythology: The creation myth of Ra and Osiris,1,4,5,,,,
Non-fiction,Tales and Myths,Mythology,Arthurian legends: King Arthur and the Knights of the Round Table,1,4,5,,,,
Non-fiction,Tales and Myths,Mythology,Hindu mythology: The story of Rama and Sita in the Ramayana,1,2,4,,,,
Non-fiction,Tales and Myths,Mythology,Greek mythology: Perseus and the Gorgon Medusa,2,5,7,,,,
Non-fiction,Tales and Myths,Mythology,Mesopotamian mythology: Epic of Gilgamesh,2,3,5,,,,
Non-fiction,Tales and Myths,Mythology,"Chinese mythology: The Monkey King in ""Journey to the West""",2,4,5,,,,
Non-fiction,Tales and Myths,Mythology,Greek mythology: Theseus and the Minotaur,2,5,6,,,,
Non-fiction,Tales and Myths,Mythology,Celtic mythology: The legend of King Arthur's Excalibur,2,5,7,,,,
Non-fiction,Tales and Myths,Mythology,Japanese mythology: Amaterasu and the gods of Shinto,3,5,6,,,,
Non-fiction,Tales and Myths,Mythology,"Norse mythology: Thor's battle with Jormungandr, the World Serpent",3,5,8,,,,
Non-fiction,Tales and Myths,Mythology,Aztec mythology: The creation myth of Quetzalcoatl and Tezcatlipoca,3,5,7,,,,
